file_name,processed_date
Clusters_2020-04-01_2020-04-11.xlsx,2020-05-18 09:33:27
clusters_2020-04-12.htm,2020-05-18 09:33:27
clusters_2020-04-13.htm,2020-05-18 09:33:27
clusters_2020-04-14.htm,2020-05-18 09:33:27
clusters_2020-04-15.htm,2020-05-18 09:33:27
clusters_2020-04-16.htm,2020-05-18 09:33:27
clusters_2020-04-17.htm,2020-05-18 09:33:27
clusters_2020-04-18.htm,2020-05-18 09:33:27
clusters_2020-04-19.htm,2020-05-18 09:33:27
clusters_2020-04-20.htm,2020-05-18 09:33:27
clusters_2020-04-21.htm,2020-05-18 09:33:27
clusters_2020-04-22.htm,2020-05-18 09:33:28
clusters_2020-04-23.htm,2020-05-18 09:33:28
clusters_2020-04-24.htm,2020-05-18 09:33:28
clusters_2020-04-25.htm,2020-05-18 09:33:28
clusters_2020-04-26.htm,2020-05-18 09:33:28
clusters_2020-04-27.htm,2020-05-18 09:33:28
clusters_2020-04-28.htm,2020-05-18 09:33:28
clusters_2020-04-29.htm,2020-05-18 09:33:28
clusters_2020-04-30.htm,2020-05-18 09:33:28
clusters_2020-05-01.htm,2020-05-18 09:33:28
clusters_2020-05-02.htm,2020-05-18 09:33:28
clusters_2020-05-03.htm,2020-05-18 09:33:28
clusters_2020-05-04.htm,2020-05-18 09:33:28
clusters_2020-05-05.htm,2020-05-18 09:33:28
clusters_2020-05-06.htm,2020-05-18 09:33:28
clusters_2020-05-07.htm,2020-05-18 09:33:28
clusters_2020-05-08.htm,2020-05-18 09:33:28
clusters_2020-05-09.htm,2020-05-18 09:33:28
clusters_2020-05-10.htm,2020-05-18 09:33:28
clusters_2020-05-11.htm,2020-05-18 09:33:28
clusters_2020-05-12.htm,2020-05-18 09:33:28
clusters_2020-05-13.htm,2020-05-18 09:33:28
clusters_2020-05-14.htm,2020-05-18 09:33:28
clusters_2020-05-17.htm,2020-05-18 09:33:28
clusters_2020-05-18.htm,2020-05-18 09:33:28
